Rubric,Remedies.,Meaning
Homeosetu Clinical Repertory; Boericke; Epididymitis :,"guajol., ham., methyl-sal., sabal., spong., teucr-s.",
"Homeosetu Clinical Repertory; Boericke; Epiglottis, affections of :","all-c., chlor., hepat., Wye.",
Homeosetu Clinical Repertory; Boericke; Epilepsy :,"aml-n., art-v., aster., bell., bor., bran., bufo., calc-ar., cann-i., cic., cic-m., cot., crot-h., cupr., ferr-cy., fili-v., hydr-ac., hyos., indg., irid., kali-br., kali-cy., lith-br., mand., meli., methyl., mill., oest., picro., sac-alb., salam., sil., sol-c., tarent., tub., Verbe-h., visc., zinc-val., ziz.",
Homeosetu Clinical Repertory; Boericke; Epilepsy; Menstrual : ,"bufo., mill.",
Homeosetu Clinical Repertory; Boericke; Epiphora : ,"guare., tong.",
Homeosetu Clinical Repertory; Boericke; Epistaxis : ,"am-c., ambr., ambro., bar-c., bufo., calc., camph., carb-v., conv., cor-r., croc., crot-h., diph., erech., ferr-acet., ferr-p., Ferr-pic., fic., ham., ip., meli., nat-s., nat-sal., petr., phos., rhus-g., ruta., salx-n., thlaspi.",
Homeosetu Clinical Repertory; Boericke; Epistaxis; Menstrual : ,"meli., phos.",
Homeosetu Clinical Repertory; Boericke; Epithelioma :,"abr., alumn., ars., ars-i., chr-ac., cund., euph., Kali-s., lob-e., mur-ac., rad-br., rumx-ac., scroph-n., thuj.",
"Homeosetu Clinical Repertory; Boericke; Epithelioma; Lip, of :","ars., ars-i., cund.",
Homeosetu Clinical Repertory; Boericke; Erections :,"acon., agav-a., agn., am-c., ambr., arg-n., aur., calad., camph-br., canth., clem., cob., con., cyt-l., ery-a., fl-ac., gels., jac-c., kali-bi., kreos., lup., mygal., nat-p., ol-sant., onos., pic-ac., tus-p., yohim., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Erethism :,"am-val., arg-n., asar., chin., ery-a., eup-a., ferr-s., sil., stram., stry., tela.",
Homeosetu Clinical Repertory; Boericke; Erotomania :,"orig., salx-n.",
Homeosetu Clinical Repertory; Boericke; Eructations :,"abies-n., absin., agar., all-s., aloe., alum., Ambr., anac., anag., ant-c., ant-t., arg-n., ars., asaf., asar., aur., bapt., bar-c., bell-p., bism., bor., calad., calc., calc-p., calc-sil., carb-v., cham., cod., con., cycl., dios., fago., fel., ferr., ferr-p., ferr-s., fl-ac., graph., hep., hyos., ign., indg., iod., jug-c., kali-c., kali-pic., lac-ac., led., lina., lyc., mag-c., mag-m., mag-s., med., merc., nabal., nat-n., nat-ns., nat-p., nit-m-ac., nux-v., ol-an., ox-ac., oxyt., pall., passi., petr., phos., psor., ptel., puls., raph., rob., rumx., sang., sapo., scut., sec., sel., senec., sep., sil., sin-a., sin-n., spira., stront-c., sul-ac., sulph., tarax., thuj., valer., verat., xero., yohim.",
Homeosetu Clinical Repertory; Boericke; Eruptions : ,"abrot., aeth., aethi-a., aethi-m., agar., ail., all-s., am-c., amph., anac., anac-oc., anag., ant-c., ant-t., anthr., anthro., arn., ars., ars-br., arund., asim., bell., benz., berb-a., bor., bov., calc., calc-i., calc-sil., calth., canth., carb-an., carb-v., card-m., choph., chrysar., cic., cist., clem., con., cop., corn., crat., crot-h., croto-t., cupr., cupr-acet., diosm., dol., dulc., elaps., eucal., euph-l., frag., gels., gins., graph., grin., hell., hep., hoit., hydr., hydrc., hyper., iris., jug-c., jug-r., kali-bi., kali-c., kali-chl., kali-hp., kali-ma., kali-s., kreos., lacer., lappa., lat-h., led., lith-c., lup., lyc., mag-c., mag-m., medus., merc., merc-d., mez., mur-ac., naphtin., nat-c., nat-m., nat-sal., olnd., ped., petr., phyt., pix., prim-o., psor., ran-b., ran-s., rhus-t., sang., Sars., sel., sep., sil., sol-n., staph., still., stram., stront-c., sul-i., sulph., syph., ter., thlaspi., thuj., thyr., til., urt-u., vac., vario., vinc., viol-t., zinc.",
Homeosetu Clinical Repertory; Boericke; Eruptions; Itching : ,"aeth., agar., anag., ant-c., arn., ars., arund., calth., canth., cupr-acet., dol., elaps., gels., graph., hyper., jug-r., kali-bi., kali-c., kali-chl., kali-hp., kali-s., lyc., mur-ac., olnd., ran-b., rhus-t., sars., sel., sil., staph., stront-c., ter., thyr., til., zinc.",
Homeosetu Clinical Repertory; Boericke; Eruptions; Moist :,"ant-c., graph., petr., sars., stront-c., vinc.",
Homeosetu Clinical Repertory; Boericke; Eruptions; Scrofulous : ,aethi-a.,
Homeosetu Clinical Repertory; Boericke; Eruptions; Suppressed : ,"ant-c., calc., cic., psor., stram., Zinc.",
Homeosetu Clinical Repertory; Boericke; Erysipelas :,"am-c., anac-oc., anan., anthr., Apis., astac., bell., bor., both-l., calad., calen., canth., chin., com., cop., croto-t., echi., Euph., euph-l., ferr-m., frag., gels., graph., gymn., hep., hippoz., ichth., jug-c., lach., Mag-s., manc., nat-p., passi., prim-o., rhus-d., rhus-t., rhus-v., semp., tax., verat-v., verbe-h., vesp., zinc-acet.",
"Homeosetu Clinical Repertory; Boericke; Erysipelas, vesicular :","anac-oc., canth., croto-t., euph., hep., rhus-t., verbe-h.",
Homeosetu Clinical Repertory; Boericke; Erythema : ,"agar., antipyrin., bell., bor-ac., chin-s., chlol., dig., Euph-l., fago., gaul., insulin., jug-c., kali-m., manc., narc-ps., polyg-a., rad-br., rhus-v., sulfon., ter., trinit., urt-u., verat-v., vesp., x-ray., xero., yuc.",
"Homeosetu Clinical Repertory; Boericke; Erythema; Face, of : ","bell., Euph-l.",
Homeosetu Clinical Repertory; Boericke; Erythema; Nodosum : ,rhus-v.,
Homeosetu Clinical Repertory; Boericke; Ethmoiditis : ,"nat-s., nat-sil-f.",
Homeosetu Clinical Repertory; Boericke; Excitement : ,,
Homeosetu Clinical Repertory; Boericke; Excoriation : ,"aesc., aeth., am-caust., am-m., anan., aral., arg., Ars., ars-i., arum-t., brom., carb-v., cupr-acet., echi., euphr., fab., fago., ferr-br., fl-ac., gels., graph., hydr., ign., kali-sil., kreos., lyc., med., merc., merc-c., mez., nit-ac., ol-an., physal., prim-o., psor., sanic., sulph., urt-u., vib.",
Homeosetu Clinical Repertory; Boericke; Excrescences :,"ars-br., calc-f., euphr., kali-ar., nat-s., ph-ac., phos., ran-b., sabin., Thuj.",
Homeosetu Clinical Repertory; Boericke; Exhaustion :,"aeth., agar., alst-s., alum., am-caust., arg., Ars., cadm., cann-i., caps., carb-an., carb-v., caul., chel., chin., coca., cor-r., corn-f., coto., cypr., dios., epip., eucal., ferr-acet., gels., glyc., ho., hydr., hyosin., irid., kali-c., kali-fcy., kali-i., kali-p., kreos., lach., lath., lec., lim., mag-p., med., merl., morph., nat-c., nat-n., nit-ac., Oeno., pall., passi., ph-ac., pic-ac., rhus-d., sac-l., sarcol-ac., sec., sel., sep., spong., squil., stann., stry., syph., thal., thuj., tub., verat., verbe-h.",
Homeosetu Clinical Repertory; Boericke; Exostosis :,"Aur., calc., calc-f., fl-ac., hecla., merc., merc-p., mez., still.",
Homeosetu Clinical Repertory; Boericke; Expectoration :,"acal., agar., agri., all-s., alum-sil., alumn., am-m., am-p., ammc., ange., ant-t., antipyrin., arg., arn., ars., ars-i., arum-d., arum-t., arund., bac., bad., Bals-p., bals-t., bar-c., bar-m., bell., benz-ac., bor., bry., calc., calc-acet., calc-f., calc-i., calc-s., calen., cann-s., carb-v., caust., cetr., cham., chel., coc-c., cod., con., cop., cor-r., croc., crot-h., cub., dros., dulc., elaps., erio., eucal., euphr., ferr-acet., ferr-p., gall-ac., grin., guai., hepat., hydr., hyper., ichth., ign., inul., jab., kali-bi., kali-c., kali-hp., kali-i., kali-m., kali-n., kali-p., kali-s., kreos., laur., led., lyc., mag-c., merc., merc-c., mill., mosch., myos., myrt-ch., naphtin., nat-ar., nat-s., nat-sel., nux-v., oena., ol-car., ol-sant., op., osm., pect., ph-ac., phel., puls., quill., rhus-t., rumx., ruta., sabal., sac-alb., sang., sanguin-n., sel., sep., sil., silphu., sol-n., solid., solin., spong., squil., stann., stann-i., stict., sulo-ac., sulph., ter., terebe., teucr., teucr-s., thyr., tril., tub., zinc.",
Homeosetu Clinical Repertory; Boericke; Extravasations : ,"led., phos.",
Homeosetu Clinical Repertory; Boericke; Exudations :,"Abrot., acon., ant-ar., apis., aur-m., bell-p., cadm., calc-acet., calc-s., calc-sil., calen., canth., carb-ac., cic., dig., echi., ferr-p., graph., hip-ac., jab., kali-bi., kali-m., Merc-d., merc-i-f., naphtin., phyt., pyrog., ran-s., seneg., sulph., upa-a.",
Homeosetu Clinical Repertory; Boericke; Eyes; Affections of : ,"aethi-a., cic., coloc., staph.",
"Homeosetu Clinical Repertory; Boericke; Eyes; Conjunctivitis, catarrhal and purulent : ","euphr., nat-ar., pic-ac., stict.",
Homeosetu Clinical Repertory; Boericke; Eyes; Convulsions of : ,oena.,
Homeosetu Clinical Repertory; Boericke; Eyes; Corneal opacity :,"cadm., calc-p., cann-s., cine., helo., kali-m., naphtin., sac-alb., sil., thiosin., zinc-s.",
Homeosetu Clinical Repertory; Boericke; Eyes; Hemorrhage into :,til.,
Homeosetu Clinical Repertory; Boericke; Eyes; Heavy : ,"aloe., meli., onos., par., parth., physal., sulfon.",
Homeosetu Clinical Repertory; Boericke; Eyes; Inflammation of : ,"ant-ar., apis., calc-s., clem., coch., euph., ham., ilx-a., jac-c., merc-acet., naphtin., pip-n.",
Homeosetu Clinical Repertory; Boericke; Eyes; Injuries of : ,"calen., phys., rhus-t., symph.",
Homeosetu Clinical Repertory; Boericke; Eyes; Iritis :,"Asaf., cedr., clem., euphr., form., grin., hep., kali-bi., kali-i., kalm., merc., merc-c., nit-ac., phys., rhus-t., sabal., sil., staph., syph., thuj.",
Homeosetu Clinical Repertory; Boericke; Eyes; Irritation of :,"amyg-p., kali-bi., kali-s-chr., pop-c., pyrus., vanad.",
Homeosetu Clinical Repertory; Boericke; Eyes; Keratitis : ,"abr., apis., aur., calc-f., chrysar., con., kali-i., merc., merc-n., sil., sulph.",
"Homeosetu Clinical Repertory; Boericke; Eyes; Lids, margins of, inflamed : ",hep.,
"Homeosetu Clinical Repertory; Boericke; Eyes; Lids, Twitching : ","aran-s., oreo., rham-cal.",
Homeosetu Clinical Repertory; Boericke; Eyes; Neuralgia of :,"carb-ac., Chel., chin-m., chin-s., com., croc., ign., lac-f., nux-v., ter.",
Homeosetu Clinical Repertory; Boericke; Eyes; Operations on :,"adren., asar.",
Homeosetu Clinical Repertory; Boericke; Eyes; Optic neuritis :,"carbn-o., Carb-s., nux-v., plb.",
Homeosetu Clinical Repertory; Boericke; Eyes; Pains in : ,"alum-sil., am-br., arg., asar., aza., brom., Cedr., chim., chin-m., cimic., coc-c., cocc., colch., cor-r., croc., cur., dubin., esin., euon-a., ham., hep., hip-ac., hyper., ign., ilx-a., iod., jab., jac-c., kali-c., lith-c., lob-s., menthol., meph., mill., naphtin., nat-ar., nat-m., nicc-s., ox-ac., physal., plan., prun., rad-br., ran-b., rhod., rhus-t., sanguin-n., sapo., sel., senec., sil., sol-n., spig., symph., tarent-c., ter., thlaspi., upa., xan.",
Homeosetu Clinical Repertory; Boericke; Eyes; Pains over : ,"coc-c., cur., dubin., euon-a., hip-ac., lith-c., lob-s., menthol., physal., rad-br., ran-b., sel., senec., sol-n., thlaspi., xan.",
Homeosetu Clinical Repertory; Boericke; Eyes; Paralysis of :,"phys., seneg.",
Homeosetu Clinical Repertory; Boericke; Eyes; Pupils dilated : ,"aeth., gran., narc-ps., oena.",
Homeosetu Clinical Repertory; Boericke; Eyes; Scrofulous affections of : ,scroph-n.,
Homeosetu Clinical Repertory; Boericke; Eyes; Scrofulous inflammation of :,coch.,
Homeosetu Clinical Repertory; Boericke; Eyes; Sight weak : ,gran.,
Homeosetu Clinical Repertory; Boericke; Eyes; Smarting of : ,"jab., lept., ol-an., ran-b., stel.",
Homeosetu Clinical Repertory; Boericke; Eyes; Strain of : ,"jab., onos.",
Homeosetu Clinical Repertory; Boericke; Eyes; Swelling over : ,"aethi-a., ars-met., bell., calth., cench., com., nat-c., sarr.",
Homeosetu Clinical Repertory; Boericke; Eyes; Syphilitic affections of : ,jac-c.,
Homeosetu Clinical Repertory; Boericke; Eyes; Tension in :,kali-i.,
Homeosetu Clinical Repertory; Boericke; Eyes; Ptosis :,botul.,
Homeosetu Clinical Repertory; Boericke; Eyes; Watering of :,nux-v.,
Homeosetu Clinical Repertory; Boericke; Face; Blotches on :,"berb-a., colch., kali-bi., med., sep.",
Homeosetu Clinical Repertory; Boericke; Face; Boils on : ,"ant-c., brom., med.",
"Homeosetu Clinical Repertory; Boericke; Face; Bones of, painful : ","arg., astra-me., aur., caust., hep., lach., Mag-c., phos.",
Homeosetu Clinical Repertory; Boericke; Face; Chapped : ,"arum-t., bov.",
Homeosetu Clinical Repertory; Boericke; Face; Distortion of :,"cadm., camph., cupr., op., sec., stram.",
Homeosetu Clinical Repertory; Boericke; Face; Eruption on : ,"abrot., anac-oc., ant-c., croto-t., diosm., Dulc., euph-l., hyper., lappa., led., lup., lyc., mag-m., medus., mez., Prim-o., psor., sars., sil., sul-i., viol-t.",
Homeosetu Clinical Repertory; Boericke; Face; Erythema of :,"bell., Euph-l.",
Homeosetu Clinical Repertory; Boericke; Face; Flushing of :,"acon., aml-n., ars., baj., Bell., bufo., chin., echi., ferr., ferr-p., gels., glon., graph., iber., jab., kali-br., meli., mygal., paull., polyp-p., rham-cal., sang., scut., stront-c., stroph., sulph., thyr., verat-v.",
Homeosetu Clinical Repertory; Boericke; Face; Neuralgia of : ,"acon., agar., arund., bell., Carb-s., chin-s., cit-v., coffin., coloc., cupr-acet., dulc., ferr-p., gaul., gels., glon., Hecla., hell., hep., hyper., ip., iris., kali-cy., kali-i., kali-p., kalm., lach., mag-m., merc-c., mez., par., puls., rhus-t., sang., sil., verb., xan., zinc-p., zinc-val.",
Homeosetu Clinical Repertory; Boericke; Face; Paralysis of :,"aethi-m., am-p., Cadm-s., caust., cocc., cur., Physal., seneg., zinc-pic.",
"Homeosetu Clinical Repertory; Boericke; Face; Paralysis of, from cold : ",aethi-m.,
Homeosetu Clinical Repertory; Boericke; Face; Pimples on : ,"alum., ant-c., Aster., berb-a., bor., calc., calc-s., carb-v., graph., ind., lappa., led., mur-ac., nat-c.",
Homeosetu Clinical Repertory; Boericke; Face; Roughness of : ,euph-l.,
Homeosetu Clinical Repertory; Boericke; Face; Yellow :,"ant-c., aphis., ars., carl., chel., cic., crot-h., euph., hep., lachn., myric., naphtin., nat-c., plb., sep., Yuc.",
Homeosetu Clinical Repertory; Boericke; Fag : ,"aeth., pic-ac., zinc.",
Homeosetu Clinical Repertory; Boericke; Fainting; Fits :,"coca., mosch., nux-m.",
Homeosetu Clinical Repertory; Boericke; Fainting; Spells : ,"alet., glon., hydr., lach., nux-v.",
Homeosetu Clinical Repertory; Boericke; Faintness :,"abies-c., acet-ac., acetan., acon., adon., alet., am-c., ant-t., antipyrin., apis., apoc., arg-n., ars., asar., berb., bry., carb-v., caust., coca., cocc., colch., coll., crot-h., cur., dig., elaps., gala., gall-ac., gels., glon., hedeom., hydr., iod., kali-i., lach., lil-t., lina., lob., magn-gr., morph., Mosch., narc-ps., nat-h., nat-ns., nux-m., nux-v., oper., paeon., petr., phos., plb., polyp-p., pulx., ran-s., sabad., sang., senn., sep., spong., stront-c., sul-ac., sulfon., sulph., tab., tell., ter., thea., thyr., triat., tril., trinit., valer., verat., verat-v., vesp., vib., vip.",
Homeosetu Clinical Repertory; Boericke; Fatigue : ,"act-sp., am-c., ammc., ang., ap-g., ars., cahin., calc., calc-f., cann-s., cob., form-ac., Gels., insulin., kali-br., kola., mang-o., nux-m., phos., sel., sep., tanac., thyr., trinit., tub.",
Homeosetu Clinical Repertory; Boericke; Fatty degeneration :,"adon., agar-ph., ars., ars-i., crat., cupr., kali-c., mang., phlor., Phos., phys., pic-ac., stry-ar., stry-p., vanad.",
Homeosetu Clinical Repertory; Boericke; Fatty tumours : ,bar-c.,
Homeosetu Clinical Repertory; Boericke; Favus : ,"aethi-m., calc-i., kali-s., med.",
Homeosetu Clinical Repertory; Boericke; Fear : ,"Acon., act-sp., agn., alum., am-c., anac., ant-t., antipyrin., arg-n., arn., ars., aur., bapt., bell., bor., bruc., but-ac., cact., cadm., calc., calc-f., calc-sil., cann-i., caps., carb-v., chin., chlor., cimic., cina., croto-t., cupr., cupr-acet., dig., diosm., echi., elaps., gels., hydr-ac., iber., iod., kali-br., kali-c., lat-m., lil-t., lob., lyc., lyss., manc., mang., med., meli., morg-g., mosch., mygal., naja., nat-p., nit-ac., phase., phos., plb., prim-v., puls., rad-br., rhus-t., sabal., scut., sil., spong., succ., syph., tell., trif-r., tub., vario., zinc.",
Homeosetu Clinical Repertory; Boericke; Fear; Effects of :,gels.,
"Homeosetu Clinical Repertory; Boericke; Fear; Trains and close places, of : ",succ.,
Homeosetu Clinical Repertory; Boericke; Feet; Burning in :,"calc., canth., med., phos., sanic.",
Homeosetu Clinical Repertory; Boericke; Feet; Coldness of :,"abrot., acon., arn., bar-c., bell., benz-ac., bufo., Calc., camph., canth., chin-ar., cist., colch., dig., dulc., elaps., helo., iod., lach., lact., lath., laur., led., maland., manc., meli., meny., nat-p., oena., olnd., pic-ac., plb., sabad., samb., sec., sep., sil., spira., squil., stry-p., thyr., trif-p., zinc.",
Homeosetu Clinical Repertory; Boericke; Feet; Cramps in : ,"agar., bism., carb-v., cho., eug., Frax., lac-c.",
Homeosetu Clinical Repertory; Boericke; Feet; Fidgety :,zinc.,
Homeosetu Clinical Repertory; Boericke; Feet; Painful :,"am-m., berb., caps., cedr., cho., con., franc., glyc., gnaph., inul., jatr., mag-c., phyt., ruta., Ulm., visc., x-ray.",
Homeosetu Clinical Repertory; Boericke; Feet; Pains in :,"am-m., berb., cedr., franc., gnaph., inul., jatr., phyt., ruta., ulm., visc.",
Homeosetu Clinical Repertory; Boericke; Feet; Perspiring :,"graph., lyc., petr.",
Homeosetu Clinical Repertory; Boericke; Feet; Sore :,"med., nat-c., ran-s., sil., squil.",
Homeosetu Clinical Repertory; Boericke; Feet; Sweat of :,"am-m., arund., aza., but-ac., canth., carb-v., iod., lyc., sep., Sil., zinc.",
Homeosetu Clinical Repertory; Boericke; Feet; Tender : ,"ant-c., mag-p., med., squil., zinc.",
Homeosetu Clinical Repertory; Boericke; Feet; Weakness of : ,"card-m., hipp., zinc.",
Homeosetu Clinical Repertory; Boericke; Felon :,"am-c., apis., crot-h., dios., ol-myr., sil.",
Homeosetu Clinical Repertory; Boericke; Femur; Pains in :,tong.,
Homeosetu Clinical Repertory; Boericke; Fester : ,carbn-s.,
Homeosetu Clinical Repertory; Boericke; Fever; Bilious : ,"crot-h., Gels., merc., merc-d., nyct., ost., polyp-p.",
Homeosetu Clinical Repertory; Boericke; Fever; Gastric : ,"bapt., Illec., merc., nux-v.",
Homeosetu Clinical Repertory; Boericke; Fever; Hectic : ,"acet-ac., arg., Bals-p., bol., calc., calc-i., Calc-s., carb-v., corh., med., ol-j., phos., stann.",
Homeosetu Clinical Repertory; Boericke; Fever; Remittent :,"crot-h., Gels., kali-i., merc-d., nyct., polyp-p., sulph., tub.",
Homeosetu Clinical Repertory; Boericke; Fevers :,"abies-n., acet-ac., achy., acon., adren., aesc., agar., agki-p., ail., alst-s., am-m., am-pic., ant-t., apis., arg., ars., ars-i., arsenal., asim., astac., aza., baj., bals-p., Bapt., bell., bol., bry., cact., cadm., calc., calc-i., calc-s., calli., camph-ac., canch., carb-ac., carb-v., cent., ceph., chim-m., chin., cimx., cina., cocc., colch., colchin., conv., cop., corh., corn-a., corn-f., crot-h., cuph., cupr., dig., dubin., echi., elat., eucal., eup-a., ferr-ar., ferr-p., fil., fl-ac., form-ac., formal., frax., gels., gent-q., helia., hep., hoit., hyos., ign., illec., ilx-a., iod., ip., kali-bi., kali-c., kali-i., kali-m., kali-s., kalm., lach., lyc., mag-c., mand., meny., merc-d., methyl., mur-ac., nat-m., nit-ac., nit-s-d., nux-v., nyct., ol-j., op., oper., ost., parth., ped., ph-ac., phlor., physal., phyt., podo., polyg-a., polyp-p., prop., pyrog., rhus-t., ric., samb., sant., sec., sed-ac., sol-n., stann., stram., stry-p., thuj., tinos., urt-u., vario., verat-v., verbe-h., vip.",
